,極小誤差(直線),極大誤差(直線),極小誤差(放物線),極大誤差(放物線)
稚内,4,7,2,6
旭川,4,0,5,1
網走,5,4,3,6
札幌,8,1,8,4
釧路,2,6,0,5
根室,4,12,2,10
寿都,9,2,8,4
浦河,8,2,7,1
函館,8,3,7,5
若松,6,0,6,2
青森,4,3,3,5
秋田,5,1,5,3
盛岡,5,1,5,2
仙台,4,2,2,4
輪島,4,1,4,4
新潟,3,2,4,4
金沢,2,0,0,3
長野,4,1,4,1
前橋,1,2,2,1
水戸,2,1,1,3
名古屋,5,1,6,1
銚子,2,5,2,5
津,2,3,3,0
御前崎,4,0,4,1
東京,2,1,2,1
大島,3,2,1,0
八丈島,5,5,3,3
西郷,3,1,2,2
松江,3,1,2,2
鳥取,3,2,3,0
舞鶴,6,1,5,1
広島,7,1,6,1
大阪,6,12,4,10
潮岬,7,5,4,2
厳原,8,0,7,2
福岡,6,1,5,1
大分,7,4,5,1
長崎,7,1,6,2
鹿児島,7,2,8,0
宮崎,9,4,8,3
福江,5,1,6,1
松山,8,2,6,0
高松,6,1,3,1
高知,8,3,8,0
徳島,5,3,4,0
名瀬,10,17,6,15
石垣島,9,7,7,5
宮古島,5,6,4,4
那覇,3,5,4,4
南大東島,8,3,4,2
父島,9,0,5,1
南鳥島,10,18,6,16
